ERC-1155 Tokens: Receiver_Address, Token_ID, Amount

0x77cac7426d65dc42bb182f2ca9e84259a726cd58,23,1
0xe7d4503e155e6af50e4796d95a31a8d593bf05bf,23,1
0x523b05cb512e70efecd7763b3077e4ee2cf3e003,23,1
0xd70999d81a77e6030070ac340ca502dde7ee63d9,23,1
0xa4347d0c763fd3cfbafd424119c46c06fce79ba3,23,1
0xc98fcf7d9b86768b38780432ca3e19d1817c1ad0,23,1
0x32272606ffaeb953764847e8426d156e61d83e82,23,1
0x6bb11fc9e546748df3530f84f979150762b18e75,23,1
0x1304ea75d2c0b40ed38706f7247550d568b0b72b,23,1
0xa76c5e9c5e1b773c031ef5a65be72bc018d28850,23,1
0xbd7fd466cb365f8d75a931e116ed479c40b3301b,23,1
0x7f377d23cd2fc64cb038e161abacdeba3c7d1c99,23,1
0xea2ca72468b82c5ba63bf59bdec4136ce0a7eb6c,23,1
0x35c2a7324742042dffd4e2078cd1e19456126397,23,1
0x20b6e065c0703a62cdd8da01c3bc748a230c047d,23,1
0x5f09e8e25338c4f1f036d43929179364c3ec3843,23,1
0xdf40c02ca871254f292130eae56065887a95c951,23,1
0x5f696a204f8104d7a60d3872870bcc98b5996310,23,1
0x583723e046cbc845c6075b0fceb18ce8dd59bd36,23,1
0xb898c2b112842c693610d8a9d9dbb68d7fa38167,23,1
0xbb62a955263f761e86098122641393d2461d6ae3,23,1
0xf1b9e6315d73133e57a22eaaeb01ea9bfac82ebf,23,1
0x2b5c09d4b96592ceab26e8a6a4dc2f0c61b91e94,23,1
0xe7646a701cfb5154199c550e54ff26ea1038a25e,23,1
0xfd96358cdaabfbb82cf980b6f738e561ecdc9bea,23,1
0x4744cda32be7b3e75b9334001da9ed21789d4c0d,23,1
0x030ddd000448131ea0f7be94cbb04d0d72e8bb35,23,1
0x561d143d64c1548444a5b7390b846fcb736bd07b,23,1
0x51aa61b7fba88d503a69c2355efc825d37d3e1f4,23,1
0x3a81bf737ee0f730158e3fb6f86481004c2dd2d4,23,1
0x33bad84f773a92793504a3c4ee763c3debfedeec,23,1
0x91a2ce907b7fbc26253670dd8bf7cb3972a760af,23,1
0xd665ac733ffc570e2f342cd9ba6d7536a5920910,23,1
0xb3e9823c3e20a3a890bcfd73a607d4ef0b322a32,23,1
0xbfef8866db2e9298a90d72c6baf9d7f2bd835930,23,1
0xf2c2a356d1778c7f183d53109571a6462cb493a1,23,1
0x3975a7bbde9d84e7bb9ac57c9b27874daf2ebc45,23,1
0x9fa0b0ec55793db4ddd7da522f515a6ae2f27ef3,23,1
0x0142b4579ee888fbb181b743d6ab4b045e984ffa,23,1
0x519a5e75f04b1989d380b15289c11fb62972869d,23,1
0x7e821ad6e9d63ffb63f6254e00e54a6fea8a5ecd,23,1
0x71b65a7f870d0db3f955c6a72aca73fe45cfc5d6,23,1
0x7b0d9c8dffde65b00c9427e680e4aa538d7ef19c,23,1
0x1a74ae07ae7aed490c3fe642545847f8afd8a443,23,1
0x1f09dd87e15715740370995e355c514b439ce981,23,1
0x3f80c59dad83a61645706b77462f42572741e82f,23,1
0x596856338987d85728750b738c581ced79d9144b,23,1
0xe2e5638bde7a3d3e1959cc4880a03b098bf6e5d7,23,1
0x283d237a800e9a445dc7e64233c12c87461e9831,23,1
0x09dc9dcb73050400ef07e195cfcb78874c91c22c,23,1
